roi,L_precentral_thickavg,R_paracentral_thickavg,R_precentral_thickavg,L_caudalmiddlefrontal_thickavg,L_paracentral_thickavg,R_cuneus_thickavg,L_superiorparietal_thickavg,R_superiorparietal_thickavg,R_caudalmiddlefrontal_thickavg,R_lateraloccipital_thickavg,R_parstriangularis_thickavg,R_superiorfrontal_thickavg,R_precuneus_thickavg,R_supramarginal_thickavg,L_superiorfrontal_thickavg,R_transversetemporal_thickavg,R_lingual_thickavg,L_precuneus_thickavg,R_rostralmiddlefrontal_thickavg,L_transversetemporal_thickavg,R_entorhinal_thickavg,RSurfArea,R_pericalcarine_thickavg,L_lateraloccipital_thickavg,L_parstriangularis_thickavg,R_lateralorbitofrontal_thickavg,R_parsorbitalis_thickavg,L_pericalcarine_thickavg,L_cuneus_thickavg,L_parsorbitalis_thickavg,R_temporalpole_thickavg,R_parsopercularis_thickavg,L_parsopercularis_thickavg,R_inferiorparietal_thickavg,L_supramarginal_thickavg,R_middletemporal_thickavg,L_lingual_thickavg,R_frontalpole_thickavg,L_inferiorparietal_thickavg,L_fusiform_thickavg,L_frontalpole_thickavg,R_superiortemporal_thickavg,LSurfArea,R_medialorbitofrontal_thickavg,L_entorhinal_thickavg,R_parahippocampal_thickavg,L_isthmuscingulate_thickavg,L_middletemporal_thickavg,L_rostralmiddlefrontal_thickavg,L_superiortemporal_thickavg,R_insula_thickavg,L_posteriorcingulate_thickavg,L_postcentral_thickavg,R_fusiform_thickavg,L_parahippocampal_thickavg,L_temporalpole_thickavg,R_bankssts_thickavg,L_lateralorbitofrontal_thickavg,R_posteriorcingulate_thickavg,L_caudalanteriorcingulate_thickavg,R_inferiortemporal_thickavg,R_postcentral_thickavg,L_rostralanteriorcingulate_thickavg,R_rostralanteriorcingulate_thickavg,L_medialorbitofrontal_thickavg,R_isthmuscingulate_thickavg,L_insula_thickavg,R_caudalanteriorcingulate_thickavg,L_inferiortemporal_thickavg,L_bankssts_thickavg
meta_d,-0.375021628,-0.351350921,-0.348145021,-0.291107413,-0.25710747,-0.234468029,-0.224490444,-0.220054345,-0.212338492,-0.210768177,-0.210273234,-0.234897836,-0.238244555,-0.206049016,-0.242986672,-0.179958007,-0.179538524,-0.178356461,-0.19750867,-0.200429018,-0.19721961,-0.163836153,-0.158284476,-0.153263196,-0.140621097,-0.167331058,-0.15588768,-0.15971258,-0.142246996,-0.12803057,-0.125885814,-0.124831168,-0.122147502,-0.118335305,-0.138234204,-0.102259473,-0.099250639,-0.097953814,-0.096181057,-0.095222099,-0.089463687,-0.110472122,-0.104442447,-0.100640775,-0.149022927,-0.075811451,-0.092688385,-0.073874405,-0.096933818,-0.09160876,-0.069417844,-0.08928029,-0.064763285,-0.085848344,-0.060026145,-0.088285519,-0.080883417,-0.064638196,-0.061428544,0.050233177,-0.034564509,-0.023850997,-0.023304906,0.022738413,-0.014304289,-0.015897011,-0.014962178,0.006792183,-0.006541826,-0.006580345
meta_se,0.045528214,0.045432488,0.045379627,0.045308955,0.045263422,0.045212636,0.045315572,0.045238189,0.045188894,0.045241836,0.045220161,0.052324361,0.053284007,0.046635795,0.058725535,0.045195313,0.045199145,0.046701417,0.052280555,0.058867024,0.058382945,0.048522731,0.047968662,0.047935124,0.045122122,0.054527277,0.05193925,0.054007633,0.049177678,0.045087929,0.046966068,0.047228327,0.047386685,0.049893468,0.058915318,0.045230949,0.045085645,0.045135117,0.045320551,0.045210393,0.045786948,0.058522229,0.055368605,0.054459817,0.084177731,0.045160249,0.056883531,0.046464196,0.061725025,0.059385955,0.04573551,0.061302866,0.045176815,0.061647171,0.045215298,0.068845227,0.063242504,0.06429646,0.062319838,0.052236453,0.049292772,0.045121491,0.067695383,0.066797484,0.04565594,0.055296108,0.052773728,0.048389928,0.053935676,0.064193214
meta_zval,-8.23712577,-7.733472987,-7.671835264,-6.424942085,-5.680248174,-5.185896028,-4.95393602,-4.864349162,-4.69890884,-4.658700758,-4.649988619,-4.489263361,-4.471220695,-4.41825889,-4.137666401,-3.981784755,-3.972166337,-3.819080276,-3.777860997,-3.40477578,-3.378034616,-3.376482489,-3.299747586,-3.197304685,-3.116455748,-3.068758732,-3.001346389,-2.957222373,-2.892511433,-2.839575284,-2.680356689,-2.643141858,-2.577675585,-2.371759467,-2.346320273,-2.260829687,-2.201380014,-2.170235099,-2.122239357,-2.106199321,-1.953912418,-1.88769504,-1.886311701,-1.847982244,-1.770336716,-1.678720847,-1.629441485,-1.589921085,-1.570413599,-1.542599749,-1.517810639,-1.456380372,-1.433551371,-1.392575569,-1.327562745,-1.282376764,-1.278940768,-1.005314996,-0.985698071,0.96164985,-0.701208464,-0.528595055,-0.344261379,0.34040823,-0.313306192,-0.287488787,-0.283515649,0.140363579,-0.121289402,-0.102508417
meta_pval,1.76E-16,1.05E-14,1.70E-14,1.32E-10,1.34E-08,2.15E-07,7.27E-07,1.15E-06,2.62E-06,3.18E-06,3.32E-06,7.15E-06,7.78E-06,9.95E-06,3.51E-05,6.84E-05,7.12E-05,1.34E-04,1.58E-04,6.62E-04,7.30E-04,7.34E-04,9.68E-04,1.39E-03,0.001830391,2.15E-03,2.69E-03,3.10E-03,0.003821753,0.004517363,0.007354375,0.008214061,0.009946733,0.017703612,0.018959808,0.023769805,0.027709133,0.02998904,0.033817643,0.035187042,0.050711576,0.059066903,0.059252963,0.064604912,0.076671065,0.093206461,0.103219593,0.111852594,0.116318921,0.122927919,0.129062142,0.145287499,0.151700329,0.163748175,0.184322599,0.199710511,0.200917915,0.314745197,0.324281297,0.336225522,0.483172929,0.597086392,0.730649726,0.733549121,0.754048046,0.773738086,0.776781588,0.888372732,0.903461814,0.918353132
meta_ci.lb,-0.464255289,-0.440396962,-0.437087455,-0.379911333,-0.345822148,-0.323083166,-0.313307333,-0.308719566,-0.300907096,-0.299440547,-0.298903121,-0.337451698,-0.34267929,-0.297453495,-0.358086605,-0.268539192,-0.268127221,-0.269889556,-0.299976676,-0.315806265,-0.31164808,-0.258938959,-0.252301325,-0.247214313,-0.229058832,-0.274202557,-0.25768674,-0.265565595,-0.238633473,-0.216401287,-0.217937615,-0.217396987,-0.215023699,-0.216124706,-0.253706105,-0.190910505,-0.18761688,-0.186417017,-0.185007705,-0.183832841,-0.179204457,-0.225173584,-0.212962919,-0.207380055,-0.314008247,-0.164323912,-0.204178056,-0.164942556,-0.217912644,-0.208003093,-0.159057796,-0.209431699,-0.153308216,-0.206674578,-0.148646501,-0.223219683,-0.204836448,-0.190656943,-0.183573181,-0.052148389,-0.131176567,-0.112287494,-0.155985419,-0.10818225,-0.103788286,-0.124275391,-0.118396784,-0.088050333,-0.112253809,-0.132396731
meta_ci.ub,-0.285787968,-0.26230488,-0.259202587,-0.202303493,-0.168392793,-0.145852891,-0.135673555,-0.131389125,-0.123769888,-0.122095807,-0.121643347,-0.132343973,-0.13380982,-0.114644537,-0.127886739,-0.091376822,-0.090949827,-0.086823365,-0.095040665,-0.085051771,-0.08279114,-0.068733347,-0.064267626,-0.05931208,-0.052183363,-0.060459559,-0.054088621,-0.053859565,-0.045860518,-0.039659852,-0.033834013,-0.032265348,-0.029271305,-0.020545905,-0.022762303,-0.013608441,-0.010884397,-0.009490611,-0.007354409,-0.006611357,0.000277083,0.00422934,0.004078024,0.006098505,0.015962393,0.01270101,0.018801287,0.017193746,0.024045007,0.024785574,0.020222109,0.030871119,0.023781645,0.034977891,0.028594211,0.046648646,0.043069614,0.061380551,0.060716094,0.152614743,0.062047549,0.0645855,0.109375607,0.153659077,0.075179709,0.092481369,0.088472429,0.1016347,0.099170157,0.119236042
meta_tau2,2.36E-06,1.45E-06,0,0,0,0,6.28E-07,7.61E-07,0,1.05E-06,1.07E-06,0.010494739,0.012071594,0,0.022106531,5.14E-06,5.22E-06,0.001957378,0.01041656,0.022378226,0.015063942,0.003319366,0.003874732,0.003710964,6.74E-07,0.014287317,0.009977012,0.013469108,0.005633933,1.98E-06,0.002397922,0.002831797,0.003063955,0.006388913,0.020800198,0,2.70E-07,7.70E-07,4.58E-06,6.78E-07,0.000889381,0.019840235,0.014036389,0.013662429,0.079624554,0,0.018731712,6.16E-06,0.028442508,0.021327202,7.76E-06,0.0275281,2.18E-06,0.028082394,0,0.044443059,0.031015177,0.033950677,0.029759937,0.010484898,0.005920936,3.43E-08,0.041747376,0.039765273,0,0.01597593,0.01070104,0.004559863,0.013372147,0.030912748
meta_tause,0.011743837,0.011694251,0.011682763,0.011621889,0.011597984,0.011577362,0.011608369,0.0115827,0.011564674,0.01156024,0.011575096,0.016108907,0.01675124,0.012434285,0.020747217,0.011546762,0.011565828,0.012437661,0.016052054,0.020838103,0.020079771,0.01322546,0.013256334,0.01318831,0.011520443,0.017623782,0.015840623,0.017275296,0.014008244,0.011508951,0.012630255,0.012791619,0.012893418,0.014501162,0.020933914,0.0116036,0.011502149,0.011508686,0.011641407,0.01153318,0.011921256,0.020605283,0.017789869,0.017633778,0.044242225,0.011562802,0.019355191,0.012357127,0.023118341,0.02134744,0.011941778,0.02276994,0.011543397,0.02300644,0.011602913,0.029190853,0.024357829,0.025234508,0.023610964,0.016082448,0.014105631,0.011518452,0.028180614,0.027397254,0.011875948,0.018228005,0.016481527,0.013524188,0.017204109,0.025017443
meta_i2,0.005588544,0.003433556,0,0,0,0,0.001498902,0.001821445,0,0.002501757,0.002575775,20.04914313,22.37829955,0,34.54544561,0.012333124,0.012530031,4.474320388,19.94380858,34.85150498,23.3330294,7.105773941,8.516154533,8.160173428,0.001621956,25.4728734,19.31310996,24.41477558,11.91352328,0.004779729,5.439111901,6.373305268,6.861466894,13.16214056,31.97126124,0,0.000650764,0.001850289,0.010920118,0.001623681,2.096259382,30.87117699,24.49525405,24.27621708,61.91003543,0,31.03038822,0.014001861,40.5822082,32.16402096,0.018206636,39.80327572,0.005224001,40.23123202,0,51.48398601,42.12361691,44.84067728,41.68665249,20.07818427,12.48043226,8.25E-05,49.94102519,48.81958959,0,27.79188466,20.02528687,9.893336285,24.31192062,40.63864405
meta_h2,1.000055889,1.000034337,1,1,1,1,1.000014989,1.000018215,1,1.000025018,1.000025758,1.250768333,1.288299527,1,1.527777569,1.000123346,1.000125316,1.046838928,1.249122625,1.534954875,1.304342655,1.076493171,1.093089162,1.08885223,1.00001622,1.341793312,1.23935871,1.323009897,1.135248039,1.0000478,1.057519679,1.068071454,1.073669476,1.151571453,1.469966985,1,1.000006508,1.000018503,1.000109213,1.000016237,1.021411433,1.446574607,1.324420058,1.320589069,2.625363429,1,1.449913917,1.000140038,1.682997583,1.474143978,1.0001821,1.661219962,1.000052243,1.673114628,1,2.0611751,1.72782048,1.812930164,1.714873254,1.251222824,1.142601621,1.000000825,1.997643787,1.953872569,1,1.384885889,1.250395232,1.109795834,1.321212017,1.684597638
