roi,Rthal,Lamyg,RLatVent,LLatVent,Rpal,Ramyg,Lthal,Lput,Lpal,Rput,Lcaud,Rhippo,Lhippo,Raccumb,Rcaud,Laccumb
meta_d,-0.305418354,0.326956621,0.212374715,0.197912249,-0.235163459,0.217969527,-0.196872489,-0.192982432,-0.208180841,-0.166045082,-0.069736347,-0.040524183,-0.021118767,0.015596323,-0.009276841,-0.010638341
meta_se,0.046972657,0.065074859,0.046358058,0.045258349,0.059651072,0.057381146,0.079429416,0.081735068,0.090393193,0.083103848,0.058607622,0.04631078,0.05647337,0.091199182,0.062124485,0.096061771
meta_zval,-6.502045536,5.024315499,4.58118232,4.372944572,-3.942317381,3.79862623,-2.47858413,-2.361072634,-2.303058829,-1.998043244,-1.189885282,-0.875048604,-0.373959743,0.171013842,-0.149326654,-0.11074479
meta_pval,7.92E-11,5.05E-07,4.62E-06,1.23E-05,8.07E-05,1.46E-04,0.0131905,0.018222161,0.021275533,0.045711972,0.234091484,0.38154746,0.708434267,0.864212881,0.881295884,0.911818727
meta_ci.lb,-0.397483069,0.199412241,0.121514591,0.109207516,-0.352077412,0.105504547,-0.352551283,-0.353180221,-0.385348243,-0.328925631,-0.184605175,-0.131291645,-0.131804537,-0.16315079,-0.131038594,-0.198915953
meta_ci.ub,-0.213353638,0.454501,0.303234839,0.286616983,-0.118249506,0.330434507,-0.041193695,-0.032784643,-0.031013438,-0.003164533,0.045132481,0.050243278,0.089567004,0.194343435,0.112484911,0.177639271
meta_tau2,0.002202062,0.035136354,0.00152629,9.10E-05,0.023809772,0.019199876,0.07275678,0.078607971,0.105982331,0.083709922,0.022161419,0.001374317,0.017747211,0.109874274,0.029408707,0.126893333
meta_tause,0.012583786,0.025819147,0.012243942,0.011586186,0.021464844,0.019706626,0.039477981,0.04193121,0.051719331,0.043370999,0.020688644,0.01219071,0.019047329,0.052603481,0.023453561,0.058529504
meta_i2,4.985266297,45.47013252,3.52824851,0.217876438,36.141118,31.25571429,63.27910685,64.18359337,70.31115939,66.52981424,34.73587499,3.179046361,29.72210451,72.28575285,41.43860373,75.05082259
meta_h2,1.05246835,1.833857382,1.036572867,1.002183522,1.565952877,1.454666362,2.723245309,2.792016548,3.368268951,2.987733642,1.532235359,1.032834281,1.422922518,3.608252444,1.707609558,4.008148179
meta_nctl,1446,1448,1453,1452,1440,1422,1417,1366,1339,1420,1453,1448,1439,1431,1454,1437
meta_npat,998,998,996,996,976,989,993,955,903,993,995,991,988,997,997,996
