roi,Laccumb,Lamyg,Lcaud,Lhippo,LLatVent,Lpal,Lput,Lthal,Raccumb,Ramyg,Rcaud,Rhippo,RLatVent,Rpal,Rput,Rthal
meta_d,-0.131,-0.050,-0.248,-0.319,0.237,-0.159,-0.285,-0.401,-0.148,-0.122,-0.198,-0.247,0.265,-0.349,-0.234,-0.403
meta_se,0.098,0.134,0.076,0.136,0.085,0.184,0.089,0.135,0.086,0.091,0.081,0.133,0.080,0.097,0.113,0.087
meta_zval,-1.346,-0.372,-3.267,-2.345,2.795,-0.868,-3.212,-2.969,-1.706,-1.347,-2.425,-1.856,3.313,-3.585,-2.061,-4.633
meta_pval,1.78E-01,7.10E-01,1.09E-03,1.90E-02,5.20E-03,3.85E-01,1.32E-03,2.99E-03,8.81E-02,1.78E-01,1.53E-02,6.35E-02,9.23E-04,3.37E-04,3.93E-02,3.60E-06
meta_ci.lb,-0.322,-0.312,-0.396,-0.586,0.071,-0.519,-0.458,-0.666,-0.317,-0.301,-0.357,-0.508,0.108,-0.540,-0.456,-0.574
meta_ci.ub,0.060,0.213,-0.099,-0.052,0.404,0.200,-0.111,-0.136,0.022,0.056,-0.038,0.014,0.422,-0.158,-0.011,-0.233
meta_tau2,0.068,0.184,0.019,0.193,0.037,0.412,0.044,0.188,0.041,0.052,0.031,0.181,0.027,0.067,0.111,0.042
meta_tause,0.051,0.100,0.030,0.103,0.038,0.190,0.042,0.101,0.040,0.044,0.035,0.099,0.034,0.051,0.071,0.040
meta_i2,51.808,73.766,23.174,74.899,36.912,85.876,39.930,74.334,39.638,44.927,32.687,73.934,29.877,51.278,63.221,39.715
meta_h2,2.075,3.812,1.302,3.984,1.585,7.080,1.665,3.896,1.657,1.816,1.486,3.836,1.426,2.052,2.719,1.659
meta_nctl,1204,1214,1218,1204,1216,1103,1130,1181,1199,1187,1219,1214,1216,1204,1186,1210
meta_npat,364,353,362,363,360,344,353,360,364,363,363,361,362,363,358,363
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
