roi,L_bankssts_thickavg,L_caudalanteriorcingulate_thickavg,L_caudalmiddlefrontal_thickavg,L_cuneus_thickavg,L_entorhinal_thickavg,L_frontalpole_thickavg,L_fusiform_thickavg,L_inferiorparietal_thickavg,L_inferiortemporal_thickavg,L_insula_thickavg,L_isthmuscingulate_thickavg,L_lateraloccipital_thickavg,L_lateralorbitofrontal_thickavg,L_lingual_thickavg,L_medialorbitofrontal_thickavg,L_middletemporal_thickavg,L_paracentral_thickavg,L_parahippocampal_thickavg,L_parsopercularis_thickavg,L_parsorbitalis_thickavg,L_parstriangularis_thickavg,L_pericalcarine_thickavg,L_postcentral_thickavg,L_posteriorcingulate_thickavg,L_precentral_thickavg,L_precuneus_thickavg,L_rostralanteriorcingulate_thickavg,L_rostralmiddlefrontal_thickavg,L_superiorfrontal_thickavg,L_superiorparietal_thickavg,L_superiortemporal_thickavg,L_supramarginal_thickavg,L_temporalpole_thickavg,L_transversetemporal_thickavg,LThickness,R_bankssts_thickavg,R_caudalanteriorcingulate_thickavg,R_caudalmiddlefrontal_thickavg,R_cuneus_thickavg,R_entorhinal_thickavg,R_frontalpole_thickavg,R_fusiform_thickavg,R_inferiorparietal_thickavg,R_inferiortemporal_thickavg,R_insula_thickavg,R_isthmuscingulate_thickavg,R_lateraloccipital_thickavg,R_lateralorbitofrontal_thickavg,R_lingual_thickavg,R_medialorbitofrontal_thickavg,R_middletemporal_thickavg,R_paracentral_thickavg,R_parahippocampal_thickavg,R_parsopercularis_thickavg,R_parsorbitalis_thickavg,R_parstriangularis_thickavg,R_pericalcarine_thickavg,R_postcentral_thickavg,R_posteriorcingulate_thickavg,R_precentral_thickavg,R_precuneus_thickavg,R_rostralanteriorcingulate_thickavg,R_rostralmiddlefrontal_thickavg,R_superiorfrontal_thickavg,R_superiorparietal_thickavg,R_superiortemporal_thickavg,R_supramarginal_thickavg,R_temporalpole_thickavg,R_transversetemporal_thickavg,RThickness
meta_d,-0.100,0.181,-0.403,-0.190,-0.445,-0.063,-0.359,-0.242,-0.207,0.153,-0.021,-0.311,-0.060,-0.352,0.041,-0.287,-0.426,-0.300,-0.200,-0.150,-0.282,-0.198,-0.327,-0.012,-0.466,-0.536,0.061,-0.203,-0.411,-0.472,-0.399,-0.286,-0.315,-0.141,-0.866,-0.113,-0.060,-0.441,-0.198,-0.094,-0.100,-0.197,-0.280,-0.047,0.069,-0.007,-0.254,-0.116,-0.156,-0.073,-0.067,-0.378,-0.126,-0.156,-0.139,-0.285,-0.163,-0.333,-0.150,-0.492,-0.473,0.200,-0.242,-0.365,-0.474,-0.165,-0.303,-0.033,-0.161,-0.764
meta_se,0.112,0.060,0.070,0.127,0.072,0.060,0.069,0.129,0.075,0.079,0.079,0.150,0.073,0.133,0.082,0.095,0.099,0.073,0.095,0.092,0.093,0.122,0.137,0.060,0.081,0.135,0.070,0.101,0.060,0.142,0.111,0.096,0.068,0.067,0.360,0.098,0.107,0.087,0.075,0.093,0.060,0.060,0.116,0.074,0.060,0.082,0.121,0.099,0.098,0.060,0.081,0.075,0.087,0.080,0.077,0.060,0.078,0.141,0.097,0.078,0.104,0.060,0.095,0.060,0.160,0.061,0.089,0.060,0.067,0.371
meta_zval,-0.893,3.017,-5.789,-1.497,-6.158,-1.045,-5.183,-1.872,-2.768,1.934,-0.265,-2.067,-0.822,-2.657,0.505,-3.024,-4.313,-4.110,-2.109,-1.636,-3.049,-1.620,-2.393,-0.196,-5.755,-3.965,0.863,-2.013,-6.804,-3.315,-3.606,-2.973,-4.649,-2.099,-2.409,-1.148,-0.559,-5.089,-2.651,-1.016,-1.668,-3.290,-2.407,-0.640,1.140,-0.087,-2.093,-1.174,-1.581,-1.218,-0.819,-5.021,-1.453,-1.942,-1.799,-4.738,-2.083,-2.360,-1.542,-6.335,-4.558,3.326,-2.551,-6.051,-2.971,-2.676,-3.409,-0.545,-2.382,-2.062
meta_pval,0.372,0.003,7.07E-09,0.134,7.35E-10,0.296,2.19E-07,0.061,0.006,0.053,0.791,0.039,0.411,0.008,0.613,0.002,1.61E-05,3.95E-05,0.035,0.102,0.002,0.105,0.017,0.845,8.64E-09,7.35E-05,0.388,0.044,1.02E-11,0.001,0.000,0.003,3.33E-06,0.036,0.016,0.251,0.576,3.61E-07,0.008,0.310,0.095,0.001,0.016,0.522,0.254,0.931,0.036,0.240,0.114,0.223,0.413,5.14E-07,0.146,0.052,0.072,2.16E-06,0.037,0.018,0.123,2.37E-10,5.16E-06,0.001,0.011,1.44E-09,0.003,0.007,0.001,0.586,0.017,0.039
meta_ci.lb,-0.319,0.064,-0.539,-0.438,-0.586,-0.180,-0.495,-0.496,-0.353,-0.002,-0.175,-0.606,-0.202,-0.612,-0.119,-0.473,-0.620,-0.444,-0.386,-0.330,-0.463,-0.438,-0.596,-0.129,-0.625,-0.801,-0.077,-0.400,-0.529,-0.750,-0.616,-0.474,-0.447,-0.272,-1.571,-0.306,-0.268,-0.611,-0.345,-0.276,-0.217,-0.315,-0.507,-0.192,-0.050,-0.167,-0.491,-0.310,-0.348,-0.191,-0.226,-0.526,-0.296,-0.313,-0.290,-0.403,-0.317,-0.610,-0.341,-0.644,-0.676,0.082,-0.428,-0.483,-0.787,-0.285,-0.477,-0.150,-0.293,-1.491
meta_ci.ub,0.119,0.299,-0.266,0.059,-0.303,0.055,-0.223,0.011,-0.060,0.309,0.134,-0.016,0.083,-0.092,0.202,-0.101,-0.232,-0.157,-0.014,0.030,-0.101,0.042,-0.059,0.106,-0.308,-0.271,0.199,-0.005,-0.293,-0.193,-0.182,-0.097,-0.182,-0.009,-0.161,0.080,0.149,-0.271,-0.052,0.088,0.017,-0.080,-0.052,0.098,0.187,0.153,-0.016,0.078,0.037,0.045,0.093,-0.231,0.044,0.001,0.012,-0.167,-0.010,-0.056,0.041,-0.339,-0.270,0.318,-0.056,-0.247,-0.161,-0.044,-0.129,0.085,-0.028,-0.038
meta_tau2,0.118,0.000,0.011,0.177,0.000,0.000,0.010,0.187,0.020,0.028,0.028,0.284,0.016,0.201,0.034,0.065,0.077,0.016,0.067,0.058,0.060,0.160,0.220,0.000,0.031,0.212,0.013,0.084,0.000,0.244,0.114,0.069,0.008,0.008,2.070,0.076,0.102,0.044,0.020,0.044,0.000,0.000,0.136,0.019,0.000,0.034,0.155,0.078,0.077,0.000,0.033,0.021,0.045,0.030,0.024,0.000,0.027,0.240,0.074,0.024,0.092,0.000,0.066,0.000,0.331,0.000,0.049,0.000,0.008,2.209
meta_tause,0.073,0.017,0.025,0.095,0.028,0.017,0.024,0.099,0.030,0.034,0.034,0.135,0.028,0.104,0.037,0.051,0.056,0.028,0.051,0.048,0.049,0.088,0.111,0.017,0.036,0.108,0.026,0.059,0.017,0.120,0.071,0.053,0.023,0.023,0.776,0.055,0.066,0.042,0.030,0.049,0.017,0.017,0.079,0.029,0.017,0.037,0.086,0.056,0.056,0.017,0.036,0.030,0.042,0.035,0.032,0.017,0.033,0.118,0.054,0.032,0.062,0.017,0.051,0.017,0.152,0.018,0.044,0.017,0.023,0.825
meta_i2,62.310,0.000,13.807,72.187,0.000,0.000,13.465,73.104,22.592,29.341,29.207,80.529,19.516,74.499,33.860,47.678,53.165,19.366,49.805,46.437,47.125,70.047,76.120,0.000,31.602,75.180,15.870,55.491,0.000,77.786,61.224,49.780,10.901,10.531,96.715,52.537,60.234,39.444,23.090,31.739,0.000,0.000,66.560,21.849,0.000,33.624,69.722,54.024,53.533,0.000,32.681,23.536,40.526,31.304,26.874,0.000,28.722,77.544,52.259,26.330,57.498,0.004,49.708,0.000,82.404,0.000,41.226,0.000,11.116,96.961
meta_h2,2.653,1.000,1.160,3.595,1.000,1.000,1.156,3.718,1.292,1.415,1.413,5.136,1.242,3.921,1.512,1.911,2.135,1.240,1.992,1.867,1.891,3.339,4.188,1.000,1.462,4.029,1.189,2.247,1.000,4.502,2.579,1.991,1.122,1.118,30.438,2.107,2.515,1.651,1.300,1.465,1.000,1.000,2.990,1.280,1.000,1.507,3.303,2.175,2.152,1.000,1.485,1.308,1.681,1.456,1.368,1.000,1.403,4.453,2.095,1.357,2.353,1.000,1.988,1.000,5.683,1.000,1.701,1.000,1.125,32.901
