roi,Laccumb,Lamyg,Lcaud,Lhippo,LLatVent,Lpal,Lput,Lthal,Raccumb,Ramyg,Rcaud,Rhippo,RLatVent,Rpal,Rput,Rthal
meta_d,-0.102,-0.219,-0.182,-1.728,0.465,-0.269,-0.385,-0.843,-0.123,0.266,-0.063,-0.204,0.363,-0.452,-0.285,-0.462
meta_se,0.131,0.094,0.118,0.191,0.089,0.15,0.079,0.126,0.161,0.091,0.116,0.144,0.093,0.09,0.112,0.117
meta_zval,-0.779,-2.32,-1.548,-9.056,5.203,-1.796,-4.878,-6.693,-0.761,2.928,-0.543,-1.41,3.917,-5.009,-2.534,-3.941
meta_pval,4.36E-01,2.03E-02,1.22E-01,1.35E-19,1.96E-07,7.25E-02,1.07E-06,2.19E-11,4.47E-01,3.42E-03,5.87E-01,1.59E-01,8.95E-05,5.48E-07,1.13E-02,8.12E-05
meta_ci.lb,-0.359,-0.404,-0.413,-2.103,0.29,-0.563,-0.54,-1.089,-0.438,0.088,-0.291,-0.487,0.181,-0.629,-0.505,-0.691
meta_ci.ub,0.155,-0.034,0.049,-1.354,0.64,0.025,-0.23,-0.596,0.193,0.444,0.165,0.079,0.545,-0.275,-0.064,-0.232
meta_tau2,0.197,0.065,0.144,0.5,0.051,0.283,0.027,0.171,0.342,0.056,0.138,0.258,0.06,0.054,0.123,0.14
meta_tause,0.102,0.051,0.082,0.218,0.045,0.134,0.034,0.094,0.155,0.047,0.08,0.124,0.049,0.046,0.074,0.081
meta_i2,74.434,49.18,68.167,85.532,43.124,80.306,28.474,70.462,83.078,44.657,67.36,79.222,47.227,43.985,64.26,67.376
meta_h2,3.911,1.968,3.141,6.912,1.758,5.078,1.398,3.385,5.909,1.807,3.064,4.813,1.895,1.785,2.798,3.065
meta_nctl,1402,1413,1418,1412,1417,1332,1352,1384,1396,1387,1419,1417,1418,1406,1386,1412
meta_npat,413,412,414,410,414,398,410,408,413,398,413,414,414,414,412,414
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
