roi,ACR,ALIC,BCC,CC,CGC,CGH,CR,CST,EC,FX,FXST,GCC,IC,IFO,PCR,PLIC,PTR,RLIC,SCC,SCR,SFO,SLF,SS,UNC
meta_d,-0.376607399,-0.344562285,-0.379806934,-0.379468606,-0.246547362,-0.099027724,-0.313741687,-0.041921084,-0.191538684,-0.302534706,-0.306740979,-0.359014299,-0.159279534,-0.100179091,-0.238641294,0.054999973,-0.286560709,-0.110555087,-0.196592306,-0.144663024,-0.274841942,-0.20138742,-0.279701406,-0.157833874
meta_se,0.050400585,0.050054727,0.046345282,0.047027238,0.047876771,0.041808359,0.043532779,0.037746213,0.043694003,0.044585706,0.042731862,0.042722358,0.046406971,0.038613674,0.038628079,0.04734464,0.043360305,0.043402776,0.052996317,0.034729952,0.055502441,0.041606029,0.045218346,0.0332831
meta_zval,-7.47228223,-6.883711237,-8.195158504,-8.069123754,-5.149623904,-2.368610623,-7.207021722,-1.110603704,-4.383637785,-6.785464046,-7.178273263,-8.403428981,-3.432232948,-2.594394213,-6.177922893,1.16169376,-6.608825982,-2.547189341,-3.709546573,-4.16536786,-4.951889281,-4.840342204,-6.185573628,-4.742162627
meta_pval,7.88E-14,5.83E-12,2.50E-16,7.08E-16,2.61E-07,0.01785504,5.72E-13,0.266738968,1.17E-05,1.16E-11,7.06E-13,4.34E-17,0.000598633,0.009475777,6.50E-10,0.245359881,3.87E-11,0.010859449,0.000207631,3.11E-05,7.35E-07,1.30E-06,6.19E-10,2.11E-06
meta_ci.lb,-0.475390732,-0.442667747,-0.470642018,-0.4716403,-0.340384108,-0.180970602,-0.399064367,-0.115902302,-0.277177357,-0.389921085,-0.390493889,-0.442748581,-0.250235525,-0.175860501,-0.314350937,-0.037793817,-0.371545345,-0.195622964,-0.300463179,-0.212732479,-0.383624728,-0.28293374,-0.368327734,-0.223067552
meta_ci.ub,-0.277824067,-0.246456823,-0.28897185,-0.287296913,-0.152710616,-0.017084845,-0.228419007,0.032060134,-0.105900011,-0.215148328,-0.22298807,-0.275280016,-0.068323543,-0.024497682,-0.16293165,0.147793763,-0.201576073,-0.02548721,-0.092721434,-0.07659357,-0.166059157,-0.119841101,-0.191075077,-0.092600197
meta_tau2,0.038501861,0.037692944,0.027853288,0.029558039,0.031982897,0.017649769,0.021205292,0.009441231,0.021827187,0.023746457,0.019398261,0.019311679,0.028350864,0.011054891,0.010873623,0.030802273,0.020782994,0.021199317,0.046188782,0.00398025,0.053859825,0.01711699,0.025265198,0.001661439
meta_tause,0.019259023,0.018998795,0.016130611,0.016637948,0.017287952,0.012943015,0.014108799,0.01036072,0.014242052,0.014863034,0.013549965,0.013549154,0.016185895,0.010890967,0.010877606,0.016887317,0.013970513,0.014028625,0.021394511,0.008596944,0.023592947,0.012807616,0.015307722,0.007808646
meta_i2,54.59341319,54.12689366,46.56537037,48.02836738,50.21972161,35.95918225,40.00726345,23.14390621,40.87642681,42.78659339,37.9161881,37.73714936,47.32752457,26.02944543,25.58304057,49.48478378,39.5661209,40.25268212,59.29818876,11.23819188,62.83894978,35.1678092,44.32404523,5.022657722
meta_h2,2.20232365,2.179926497,1.871445553,1.924126585,2.008827657,1.561504108,1.666868454,1.301133002,1.69137274,1.747842087,1.610725839,1.606094147,1.898524783,1.351889283,1.343779708,1.979601543,1.654700997,1.673715299,2.45689312,1.126610669,2.690989609,1.542443634,1.796107501,1.052882694
meta_nctl,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391
meta_npat,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
