roi,Rthal,Lthal,Lhippo,Rhippo,Rpal,Lput,Rput,Lpal,Lcaud,Rcaud,Raccumb,Laccumb,Lamyg,Ramyg,RLatVent,LLatVent
meta_d,-0.37,-0.36,-0.35,-0.34,-0.32,-0.25,-0.24,-0.17,-0.12,-0.08,-0.06,-0.02,0.1,0.11,0.27,0.29
meta_se,0.05,0.07,0.07,0.05,0.05,0.06,0.08,0.08,0.05,0.05,0.09,0.08,0.07,0.06,0.03,0.04
meta_zval,-7.48,-4.84,-5.12,-6.17,-5.76,-3.94,-3.17,-2.11,-2.42,-1.49,-0.68,-0.21,1.45,1.83,7.86,7.02
meta_ci,-0.19,-0.29,-0.27,-0.21,-0.21,-0.25,-0.3,-0.32,-0.2,-0.22,-0.37,-0.31,-0.28,-0.24,0.2 - 0.33,0.21 - 0.37
meta_pval_badjusted,7.67x10-14,1.31x10-6,3.04x10-7,6.63x10-10,8.32x10-9,8.30x10-5,1.53x10-3,3.53x10-2,1.56x10-2,1.36x10-1,4.94x10-1,8.33x10-1,1.47x10-1,6.76x10-2,3.73x10-15,2.14x10-12
meta_pval,1.29E-12,0.00000688,0.00000182,7.96E-09,6.99E-08,0.000291,0.00389,0.0547,0.0279,0.174,0.539,0.854,0.179,0.0962,7.83E-14,3E-11
meta_i2,44.82,75.65,71.84,54.8,55.58,65.34,76.74,79.55,47.69,54.7,85.16,79.23,73.59,63.44,0,23.34
meta_nctl,1716,1687,1707,1719,1710,1636,1690,1609,1724,1725,1702,1707,1717,1693,1722,1722
meta_npat,2137,2104,2125,2129,2112,2075,2127,1991,2135,2137,2137,2136,2124,2108,2137,2135
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
roi,,,,,,,,,,,,,,,,
