roi,ACR,ACR_L,ACR_R,ALIC,ALIC_L,ALIC_R,AverageFA,BCC,CC,CGC,CGC_L,CGC_R,CGH,CGH_L,CGH_R,CR,CR_L,CR_R,CST,CST_L,CST_R,EC,EC_L,EC_R,FX,FX_ST_L,FX_ST_R,FXST,GCC,IC,IC_L,IC_R,IFO,IFO_L,IFO_R,PCR,PCR_L,PCR_R,PLIC,PLIC_L,PLIC_R,PTR,PTR_L,PTR_R,RLIC,RLIC_L,RLIC_R,SCC,SCR,SCR_L,SCR_R,SFO,SFO_L,SFO_R,SLF,SLF_L,SLF_R,SS,SS_L,SS_R,UNC,UNC_L,UNC_R
meta_d,-0.370861946,-0.337693366,-0.361077839,-0.339221525,-0.325498697,-0.313357816,-0.379367599,-0.397726163,-0.389002101,-0.265205655,-0.220563341,-0.290995956,-0.109643205,-0.08203656,-0.117613791,-0.303450532,-0.287424329,-0.295054545,-0.034222227,0.018061169,-0.079612077,-0.181798469,-0.169392812,-0.165108942,-0.319545745,-0.284614319,-0.237917122,-0.29212679,-0.362422538,-0.145939336,-0.146330398,-0.130127977,-0.09784416,-0.035632516,-0.126861864,-0.211221275,-0.227118023,-0.170927236,0.072474964,0.072931623,0.05957366,-0.303302432,-0.250432454,-0.290070241,-0.096776668,-0.111506469,-0.063010546,-0.195988642,-0.145876361,-0.119455067,-0.155366939,-0.290281982,-0.256054234,-0.26606123,-0.203107202,-0.198256862,-0.182656592,-0.276146624,-0.275543437,-0.227203831,-0.152962856,-0.133225958,-0.145818936
meta_se,0.063966334,0.064021846,0.062839929,0.062086923,0.064102643,0.062307986,0.05658549,0.05699124,0.059547354,0.062392194,0.062266827,0.059717999,0.0485538,0.047595932,0.04549492,0.057885641,0.058612145,0.056936914,0.04366839,0.040015762,0.046360719,0.054255723,0.056362438,0.056526689,0.055464396,0.04979206,0.055435039,0.052123238,0.051898631,0.055900178,0.05729718,0.058437457,0.047644541,0.054050859,0.042909524,0.049545617,0.049644774,0.046454038,0.051434665,0.052724317,0.049730347,0.057331419,0.052438862,0.053445617,0.056045591,0.049807819,0.061119288,0.070224361,0.043043265,0.04095878,0.047288085,0.068841855,0.059291136,0.074490635,0.054155358,0.054812819,0.050906885,0.0562178,0.059045524,0.050612231,0.037322567,0.038364655,0.037316684
meta_zval,-5.797767716,-5.274658388,-5.745993706,-5.463654937,-5.077773439,-5.029175801,-6.704326415,-6.978724535,-6.532651283,-4.250622347,-3.542228692,-4.872835012,-2.258179666,-1.723604436,-2.585207113,-5.242241868,-4.903835676,-5.18213099,-0.783684203,0.451351367,-1.717231294,-3.350770364,-3.005420237,-2.920902398,-5.761276923,-5.716058301,-4.291818411,-5.604540354,-6.983277372,-2.610713249,-2.553884816,-2.22679056,-2.053627936,-0.659240512,-2.956496674,-4.263167746,-4.574862686,-3.679491486,1.409068466,1.383263489,1.19793372,-5.290335292,-4.775703407,-5.427390687,-1.726748981,-2.238734221,-1.030943723,-2.790892495,-3.38906355,-2.916470368,-3.285540948,-4.216649621,-4.318592129,-3.571740652,-3.750454447,-3.616979873,-3.588052831,-4.912085174,-4.666627027,-4.489109202,-4.098401266,-3.472622359,-3.907607027
meta_pval,6.72E-09,1.33E-07,9.14E-09,4.66E-08,3.82E-07,4.93E-07,2.02E-11,2.98E-12,6.46E-11,2.13E-05,0.000396761,1.10E-06,0.02393446,0.084779277,0.009732052,1.59E-07,9.40E-07,2.19E-07,0.433225434,0.651736329,0.08593692,0.000805871,0.002652141,0.003490191,8.35E-09,1.09E-08,1.77E-05,2.09E-08,2.88E-12,0.009035362,0.010652849,0.025961275,0.040011716,0.509741336,0.003111556,2.02E-05,4.77E-06,0.000233699,0.158814924,0.166584089,0.230942821,1.22E-07,1.79E-06,5.72E-08,0.084212755,0.025173215,0.302567211,0.005256293,0.000701318,0.003540163,0.001017867,2.48E-05,1.57E-05,0.000354616,0.000176514,0.00029806,0.000333157,9.01E-07,3.06E-06,7.15E-06,4.16E-05,0.0005154,9.32E-05
meta_ci.lb,-0.496233657,-0.463173878,-0.484241838,-0.460909659,-0.451137569,-0.435479224,-0.490273122,-0.50942694,-0.505712771,-0.387492109,-0.342604079,-0.408041083,-0.204806905,-0.175322873,-0.206782195,-0.416904304,-0.402302023,-0.406648845,-0.119810698,-0.060368283,-0.170477415,-0.288137732,-0.279861161,-0.275899216,-0.428253963,-0.382204964,-0.346567803,-0.39428646,-0.464141986,-0.255501672,-0.258630807,-0.244663288,-0.191225745,-0.141570254,-0.210962985,-0.308328899,-0.324419991,-0.261975476,-0.028335126,-0.03040614,-0.03789603,-0.415669949,-0.353210735,-0.394821725,-0.206624009,-0.209128001,-0.182802149,-0.333625861,-0.230239611,-0.1997328,-0.248049881,-0.425209538,-0.372262725,-0.412060193,-0.309249753,-0.305688012,-0.282432253,-0.386331489,-0.391270537,-0.326401981,-0.226113743,-0.208419299,-0.218958292
meta_ci.ub,-0.245490235,-0.212212854,-0.237913841,-0.217533392,-0.199859826,-0.191236407,-0.268462075,-0.286025385,-0.272291431,-0.142919202,-0.098522603,-0.173950829,-0.014479505,0.011249753,-0.028445386,-0.18999676,-0.172546635,-0.183460245,0.051366244,0.09649062,0.011253262,-0.075459206,-0.058924463,-0.054318667,-0.210837526,-0.187023674,-0.129266442,-0.189967121,-0.260703089,-0.036377,-0.034029989,-0.015592666,-0.004462576,0.070305222,-0.042760743,-0.114113651,-0.129816054,-0.079878995,0.173285055,0.176269386,0.157043349,-0.190934914,-0.147654172,-0.185318758,0.013070673,-0.013884937,0.056781057,-0.058351424,-0.061513112,-0.039177334,-0.062683996,-0.155354425,-0.139845742,-0.120062268,-0.096964652,-0.090825711,-0.082880931,-0.16596176,-0.159816337,-0.128005681,-0.079811969,-0.058032616,-0.072679579
meta_tau2,0.056237601,0.056341418,0.053163992,0.051185878,0.05678621,0.051924538,0.036397609,0.03746973,0.043973703,0.052060831,0.051807001,0.044725615,0.018866212,0.016961085,0.012990996,0.039861243,0.041694722,0.037565689,0.009827266,0.003892429,0.014713421,0.031313353,0.036375756,0.036852103,0.033955339,0.021174842,0.033744957,0.026182666,0.025495201,0.035247785,0.0386368,0.041665105,0.017100664,0.030968758,0.008422431,0.020688572,0.02092773,0.01463929,0.02493449,0.027807892,0.021312054,0.038312354,0.026826332,0.029089033,0.035615051,0.021441549,0.048844697,0.075534292,0.008651872,0.005255725,0.016362867,0.071460206,0.043769069,0.090261157,0.030956029,0.03252744,0.023692948,0.035715709,0.042922326,0.02299588,0,0.001426556,0
meta_tause,0.028237794,0.028249602,0.027233094,0.026567804,0.028372383,0.026777102,0.021769044,0.022124287,0.024260819,0.02681195,0.026707938,0.024445161,0.015661943,0.01498902,0.013585994,0.022861394,0.023458567,0.022093764,0.01241578,0.010196151,0.014183982,0.019948754,0.021631476,0.021787277,0.020901563,0.016537551,0.020794978,0.018263912,0.018077685,0.021255845,0.022382679,0.023369418,0.015049362,0.019795363,0.011921912,0.016345784,0.016428703,0.014199801,0.017760166,0.018741308,0.016508984,0.022369061,0.018480099,0.019262168,0.021360997,0.01656243,0.025693368,0.03428075,0.012013853,0.010734316,0.014801779,0.03299625,0.024095742,0.038877252,0.019838879,0.020362391,0.0173596,0.021470082,0.023842208,0.017145928,0.008690792,0.009263032,0.008685006
meta_i2,59.91572483,60.0326998,58.57324778,57.67751573,60.21352874,58.0691061,49.18442092,49.88999,53.86941729,58.23585919,58.18291277,54.47818259,33.81581348,31.48879391,26.0344527,51.6075069,52.75923178,50.14210962,21.0759812,9.565622157,28.54563026,45.78274433,49.52339508,49.84027006,47.60893609,36.26118642,47.52601219,41.26530982,40.50322374,48.75634522,51.03502335,52.93546099,31.66136635,45.62643835,18.57489092,35.77820724,36.04016742,28.32530343,40.31834114,42.96080422,36.61832706,50.63947695,41.88670838,43.84431118,49.06549089,36.72494952,56.90934719,66.91886336,18.98242364,12.46402429,30.68169992,65.58105165,54.01277343,70.61868903,45.47358342,46.7078188,39.00076491,48.93014123,53.51624848,38.25057825,0,3.723712705,0
meta_h2,2.494743876,2.502045409,2.413899102,2.362810259,2.51341717,2.384876417,1.967900432,1.995609261,2.167759307,2.394398593,2.391366942,2.196748849,1.510934942,1.459615233,1.351980802,2.066436209,2.116815703,2.005700587,1.267041409,1.10577418,1.399494536,1.844431238,1.981115809,1.993631148,1.908722453,1.568902751,1.905706125,1.702571337,1.680763333,1.951461121,2.042276068,2.124741942,1.463301132,1.839129109,1.228122395,1.557103838,1.563481266,1.395192513,1.675556643,1.753180399,1.577743145,2.025910461,1.720776731,1.780763483,1.963305463,1.580401742,2.320688908,3.02287074,1.234300068,1.142387449,1.44262049,2.905376393,2.17451687,3.403524101,1.833973444,1.876447872,1.639364819,1.958102145,2.151289359,1.619448363,1,1.038677361,1
